,Company,name,Year,Number of Records Affected,Organization Type,Reasons for Breach,Reference Link(s),domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,country_code,latitude,longitude
148,Japan Pension Service,japan pension service,2015,1250000.0,['government'],['hacked'],[['https://ja.wikipedia.org/wiki/%E5%B9%B4%E9%87%91%E7%AE%A1%E7%90%86%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0%E3%82%B5%E3%82%A4%E3%83%90%E3%83%BC%E6%94%BB%E6%92%83%E5%95%8F%E9%A1%8C']],0,0.0,information technology and services,1 - 10,"tokyo, tokyo, japan",japan,linkedin.com/company/japan-pension-service,3.0,3.0,JP,3449.44.00,4353.24.00
149,Japanet Takata,japanet takata,2004,510000.0,['retail'],['inside job'],[['https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A3%E3%83%91%E3%83%8D%E3%83%83%E3%83%88%E3%81%9F%E3%81%8B%E3%81%9F#不祥事など\u200b#個人情報漏洩']],0,0.0,0,0,"Sasebo, Nagasaki, japan",japan,0,0.0,0.0,JP,3449.44.00,4353.24.00
150,"Jefferson County, West Virginia",jefferson county,2008,1600000.0,['government'],['accidental'],"[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml'], ['https://web.archive.org/web/20160207043534/http://www.journal-news.net/page/content.detail/id/511806.html?nav=5006', 'http://www.journal-news.net/page/content.detail/id/511806.html?nav=5006']]",jeffco.us,1861.0,government administration,1001 - 5000,"golden, colorado, united states",united states,linkedin.com/company/jefferson-county,1128.0,1973.0,US,187.24.00,-11976.31.00
151,JP Morgan Chase,jp morgan chase,2010,2600000.0,['financial'],['lost / stolen'],[['http://www.pcworld.com/article/131453/article.html']],0,0.0,banking,11 - 50,"new york, new york, united states",united states,linkedin.com/company/jp-morgan-chase,11.0,39.0,US,187.24.00,-11976.31.00
152,JP Morgan Chase,jp morgan chase,2014,76000000.0,['financial'],['hacked'],[['https://dealbook.nytimes.com/2014/10/02/jpmorgan-discovers-further-cyber-security-issues/?_php=true&_type=blogs&_r=0']],0,0.0,banking,11 - 50,"new york, new york, united states",united states,linkedin.com/company/jp-morgan-chase,11.0,39.0,US,187.24.00,-11976.31.00
153,Justdial,kapil's justdial,2019,100000000.0,['local search'],['unprotected api'],[['https://economictimes.indiatimes.com/tech/internet/data-breach-at-justdial-leaks-100-million-user-details/articleshow/68930607.cms']],0,0.0,machinery,1 - 10,"bangalore, karnataka, india",india,linkedin.com/company/kapil-s-justdial,1.0,1.0,IN,9914.44.00,1682.48.00
154,KDDI,kddi,2006,4000000.0,['telecoms'],['hacked'],[['http://www.computerworld.com/s/article/9001150/KDDI_suffers_massive_data_breach']],kddia.com,1989.0,telecommunications,501 - 1000,"new york, new york, united states",united states,linkedin.com/company/kddi,387.0,676.0,US,187.24.00,-11976.31.00
155,Kirkwood Community College,kirkwood community college,2013,125000.0,['academic'],['hacked'],"[['http://www.privacyrights.org/data-breach'], ['http://www.databreachwatch.org/community-college-data-breach-leaks-125000-ssns/']]",kirkwood.edu,1966.0,higher education,1001 - 5000,"cedar rapids, iowa, united states",united states,linkedin.com/company/kirkwood-community-college,944.0,1929.0,US,187.24.00,-11976.31.00
156,KM.RU,km.ru,2016,1500000.0,['web'],['hacked'],[['https://www.vice.com/en/article/pgkp57/a-teen-hacker-is-targeting-russian-sites-as-revenge-for-the-mh17-crash']],0,0.0,0,0,0,russia,0,0.0,0.0,RU,934.21.00,5417.36.00
157,Korea Credit Bureau,korea credit bureau,2014,20000000.0,['financial'],['inside job'],[['http://www.securityweek.com/20-million-people-fall-victim-south-korea-data-leak']],0,0.0,financial services,51 - 200,0,south korea,linkedin.com/company/korea-credit-bureau,25.0,44.0,KR,15164.17.00,12909.02.00
158,Kroll Background America,kroll background america,2013,1000000.0,['tech'],['hacked'],"[['https://www.usatoday.com/story/cybertruth/2013/09/26/lexisnexis-dunn--bradstreet-altegrity-hacked/2878769/'], ['https://www.reuters.com/article/2013/09/26/us-cyberattacks-databrokers-idUSBRE98P']]",krollbackgroundscreening.com,0.0,accounting,1 - 10,"birmingham, alabama, united states",united states,linkedin.com/company/kroll-background-america-inc,0.0,15.0,US,187.24.00,-11976.31.00
159,KT Corporation,korea telecom data inc.,2012,8700000.0,['telecoms'],['hacked'],"[['https://www.koreatimes.co.kr/www/news/biz/2012/07/html'], ['http://news.cnet.com/2215-83/hackers-accused-of-stealing-data-from-9m-korean-mobile-users/']]",ktdata.co.kr,0.0,information technology and services,1 - 10,"madrid, madrid, spain",spain,linkedin.com/company/korea-telecom-data-inc-,0.0,3.0,ES,7767.47.00,-1251.42.00
160,LexisNexis,lexisnexis,2014,1000000.0,['tech'],['hacked'],"[['https://www.usatoday.com/story/cybertruth/2013/09/26/lexisnexis-dunn--bradstreet-altegrity-hacked/2878769/'], ['https://www.reuters.com/article/2013/09/26/us-cyberattacks-databrokers-idUSBRE98P']]",lexisnexis.com,1973.0,information technology and services,10001+,"new york, new york, united states",united states,linkedin.com/company/lexisnexis,6685.0,21421.0,US,187.24.00,-11976.31.00
161,Les Éditions Protégez-vous,les éditions protégez-vous,2020,380000.0,['publishing'],['unknown'],[['https://www.archyde.com/protegez-vous-opens-an-investigation-into-a-data-theft-affecting-its-subscribers/']],protegezvous.ca,1973.0,online media,11 - 50,"montréal, quebec, canada",canada,linkedin.com/company/protegezvous,24.0,75.0,CA,2228.46.00,-5885.31.00
162,LifeLabs,lifelabs,2019,15000000.0,['healthcare'],['hacked'],[['https://www.cbc.ca/news/canada/british-columbia/lifelabs-cyberattack-15-million-1.5399577']],mdsmetro.com,0.0,0,1 - 10,"richmond, british columbia, canada",canada,linkedin.com/company/lifelabs,0.0,1.0,CA,2228.46.00,-5885.31.00
163,Lincoln Medical & Mental Health Center,lincoln medical center,2010,130495.0,['healthcare'],['lost / stolen'],"[['https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html'], ['https://www.pcworld.idg.com.au/article/351659/new_york_hospital_loses_data_130_000_via_fedex/']]",0,0.0,alternative medicine,51 - 200,"troy, missouri, united states",united states,linkedin.com/company/lincoln-medical-center,78.0,164.0,US,187.24.00,-11976.31.00
164,"LinkedIn, eHarmony, Last.fm",linkedin,2012,8000000.0,['web'],['accidental'],"[['https://www.cnet.com/news/what-the-password-leaks-mean-to-you-faq/', 'https://web.archive.org/web/20181230171349/https://www.cnet.com/news/what-the-password-leaks-mean-to-you-faq/'], ['https://arstechnica.com/security/2012/06/8-million-leaked-passwords-connected-to-linkedin/', 'https://web.archive.org/web/20181230173243/https://arstechnica.com/information-technology/2012/06/8-million-leaked-passwords-connected-to-linkedin/']]",linkedin.com,2003.0,internet,10001+,"mountain view, california, united states",united states,linkedin.com/company/linkedin,36309.0,43622.0,US,187.24.00,-11976.31.00
165,Living Social,living social,2013,50000000.0,['web'],['hacked'],"[['https://nakedsecurity.sophos.com/2013/04/27/livingsocial-hacked-50-million-affected/'], ['http://bits.blogs.nytimes.com/2013/04/26/living-social-hack-exposes-data-for-50-million-customers/']]",0,0.0,internet,1 - 10,"madrid, madrid, spain",spain,linkedin.com/company/living-social,1.0,6.0,ES,7767.47.00,-1251.42.00
166,Lyca Mobile,lyca mobile,2023,16000000.0,['telecoms'],['hacked'],"[['https://www.uswitch.com/mobiles/news/lyca-mobile-data-breach/'], ['https://www.ispreview.co.uk/index.php/2023/10/lyca-mobile-uk-confirm-personal-data-breached-by-hackers.html']]",lycatelecom.in,0.0,telecommunications,51 - 200,"Londra, United Kingdom",united kingdom,linkedin.com/company/lyca-mobile,21.0,80.0,GB,6355.51.00,-7269.13.00
167,MacRumors.com,macrumors.com,2014,860000.0,['web'],['hacked'],[['https://www.wired.co.uk/news/archive/2013-11/13/mac-rumours-forums-hacked']],0,0.0,0,0,0,united states,0,0.0,0.0,US,187.24.00,-11976.31.00
168,Manipulated Caiman (5 Major Mexican Banks),manipulated caiman,2023,40000000.0,['financial'],['hacked'],"[['https://perception-point.io/blog/manipulated-caiman-the-sophisticated-snare-of-mexicos-banking-predators-technical-edition/'], ['https://haveibeenpwned.com/PwnedWebsites']]",0,0.0,0,0,0,mexico,0,0.0,0.0,MX,10598.01.00,-9315.04.00
169,Marriott International,marriott international,2018,500000000.0,['hospitality'],['hacked'],[['https://www.nytimes.com/2018/12/11/us/politics/trump-china-trade.html']],marriott.com,1927.0,hospitality,10001+,"bethesda, maryland, united states",united states,linkedin.com/company/marriott-international,31146.0,79978.0,US,187.24.00,-11976.31.00
170,Marriott International,marriott international,2020,5200000.0,['hospitality'],"['poor security', 'inside job']",[['https://www.nytimes.com/aponline/2020/03/31/business/ap-us-marriott-data-breach.html']],marriott.com,1927.0,hospitality,10001+,"bethesda, maryland, united states",united states,linkedin.com/company/marriott-international,31146.0,79978.0,US,187.24.00,-11976.31.00
171,Massachusetts Government,massachusetts governors office,2011,210000.0,['government'],['poor security'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],0,0.0,law practice,1 - 10,"springfield, massachusetts, united states",united states,linkedin.com/company/massachusetts-governors-office,3.0,33.0,US,187.24.00,-11976.31.00
172,Massive American business hack including 7-Eleven and Nasdaq,nasdaq,2012,160000000.0,['financial'],['hacked'],[['https://www.nydailynews.com/news/national/russians-ukrainian-charged-largest-hacking-spree-u-s-history-article-1.1408948']],nasdaq.com,1971.0,financial services,5001 - 10000,"new york, new york, united states",united states,linkedin.com/company/nasdaq,3038.0,7553.0,US,187.24.00,-11976.31.00
173,MediaWorks New Zealand,mediaworks nz,2023,162710.0,['entertainment'],['hacked'],[['https://www.rnz.co.nz/news/national/512042/mediaworks-data-breach-hackers-email-victims-demanding-820']],mediaworks.co.nz,0.0,broadcast media,1001 - 5000,"auckland, auckland, new zealand",new zealand,linkedin.com/company/mediaworks-nz,831.0,2150.0,NZ,-15049.17.00,14940.11.00
174,Medibank & AHM,medibank,2022,9700000.0,['healthcare'],['hacked'],"[['http://www.natlawreview.com/article/oh-no-not-again-chalk-yet-another-health-data-breach'], ['http://www.databreaches.net/rxamerica-and-accendo-insurance-notify-175000-medicare-beneficiaries-that-mailing-error-exposed-their-medication-name-date-of-birth-and-member-id/'], ['https://www.comparitech.com/blog/information-security/7-million-adobe-creative-cloud-accounts-exposed-to-the-public/'], ['https://www.zdnet.com/article/adobe-admits-2-9m-customer-accounts-have-been-compromised/']]",medibank.com.au,1974.0,insurance,1001 - 5000,"melbourne, victoria, australia",australia,linkedin.com/company/medibank,1578.0,4728.0,AU,-4598.18.00,13051.56.00
175,US Medicaid,medicad,2012,780000.0,['healthcare'],['hacked'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],medicad.com.mx,2012.0,marketing and advertising,1 - 10,"altdorf, bavaria, germany",germany,linkedin.com/company/medicad,1.0,1.0,DE,2812.31.00,7535.26.00
176,Medical Informatics Engineering,"medical informatics engineering, inc",2015,3900000.0,['healthcare'],['hacked'],[['http://www.healthcareitnews.com/news/hackers-hit-business-associate-swipe-phi-social-security-numbers']],mieweb.com,1995.0,information technology and services,51 - 200,"fort wayne, indiana, united states",united states,linkedin.com/company/medical-informatics-engineering-inc,47.0,91.0,US,187.24.00,-11976.31.00
177,Memorial Healthcare System,memorial healthcare system,2011,102153.0,['healthcare'],['lost / stolen'],"[['https://web.archive.org/web/20121012115340/https://www.mhs.net/pdf/release071112.pdf', 'http://www.mhs.net/pdf/release071112.pdf'], ['https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html']]",mhs.net,1955.0,hospital & health care,5001 - 10000,"hollywood, florida, united states",united states,linkedin.com/company/memorial-healthcare-system,3091.0,4728.0,US,187.24.00,-11976.31.00
178,MGM Resorts,mgm resorts international,2019,10600000.0,['hospitality'],['hacked'],[['https://www.bbc.com/news/technology-51568885']],mgmresorts.com,2000.0,hospitality,5001 - 10000,"las vegas, nevada, united states",united states,linkedin.com/company/mgm-resorts-international,3818.0,7892.0,US,187.24.00,-11976.31.00
179,Michaels,michaels,2014,3000000.0,['retail'],['hacked'],[['https://www.washingtonpost.com/business/economy/michaels-says-nearly-3-million-customers-hit-by-data-breach/2014/04/18/3074e432-c6fc-11e3-8b9a-8e0977a24aeb_story.html']],0,0.0,retail,1 - 10,"Irving, Texas, United States",united states,linkedin.com/company/michaels,3.0,5.0,US,187.24.00,-11976.31.00
180,Microsoft,microsoft,2019,250000000.0,['tech'],['misconfig'],[['https://www.engadget.com/2020/01/22/microsoft-database-exposure/']],microsoft.com,1975.0,computer software,10001+,"redmond, washington, united states",united states,linkedin.com/company/microsoft,116196.0,276983.0,US,187.24.00,-11976.31.00
181,Militarysingles.com,militarysingles.com,2012,163792.0,['military'],['accidental'],[['http://www.pcworld.com/article/252647/reborn_lulzsec_claims_hack_of_dating_site_for_military_personnel.html']],0,0.0,0,0,0,united states,0,0.0,0.0,US,187.24.00,-11976.31.00
182,Ministry of Education (Chile),ministry of education (chile),2008,6000000.0,['government'],['accidental'],"[['http://news.bbc.co.uk/2/hi/americas/7395295.stm'], ['http://www.geek.com/articles/news/government-servers-in-chile-hacked-6-million-personal-records-made-public-20080514/']]",0,0.0,0,0,0,chile,0,0.0,0.0,CL,-11287.27.00,-9120.29.00
183,Ministry of Health (Singapore),ministry of health (singapore),2019,14200.0,['healthcare'],"['poor security', 'inside job']","[['https://www.todayonline.com/singapore/hiv-data-leak-timeline-events'], ['https://www.cnn.com/2019/01/28/health/hiv-status-data-leak-singapore-intl/index.html']]",0,0.0,government administration,51 - 200,0,singapore,linkedin.com/company/ministry-of-health-sg,19.0,45.0,SG,5869.03.00,13766.56.00
184,Mitsubishi Tokyo UFJ Bank,"mitsubishi ufj research & consulting co.,ltd.",2006,960000.0,['financial'],['intentionally lost'],[['https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E6%83%85%E5%A0%B1%E6%BC%8F%E6%B4%A9#主な個人情報漏洩事件#2019年']],murc.jp,0.0,management consulting,201 - 500,"Chiyoda, Tokyo, Japan",japan,linkedin.com/company/mitsubishi-ufj-research-&-consulting-co.-ltd.,84.0,163.0,JP,3449.44.00,4353.24.00
185,MongoDB,mongodb,2019,202000000.0,['tech'],['poor security'],[['https://hacken.io/research/industry-news-and-insights/no-more-privacy-202-million-private-resumes-exposed/']],mongodb.com,2007.0,computer software,1001 - 5000,"new york, new york, united states",united states,linkedin.com/company/mongodbinc,743.0,1305.0,US,187.24.00,-11976.31.00
186,MongoDB,mongodb,2019,275000000.0,['tech'],['poor security'],[['https://www.bleepingcomputer.com/news/security/over-275-million-records-exposed-by-unsecured-mongodb-database/']],mongodb.com,2007.0,computer software,1001 - 5000,"new york, new york, united states",united states,linkedin.com/company/mongodbinc,743.0,1305.0,US,187.24.00,-11976.31.00
187,Mobile TeleSystems (MTS),"mobile telesystems, inc.",2019,100000000.0,['telecoms'],['poor security'],[['https://www.upguard.com/breaches/mts-nokia-telecom-inventory-data-exposure']],0,0.0,electrical/electronic manufacturing,1 - 10,"gaithersburg, maryland, united states",united states,linkedin.com/company/mobile-telesystems-inc-,0.0,3.0,US,187.24.00,-11976.31.00
188,Monster.com,monster.com.sg pte ltd,2007,1600000.0,['web'],['hacked'],[['http://news.bbc.co.uk/1/hi/6956349.stm']],0,0.0,online media,1 - 10,"Weston, Massachusetts, united states",united states,linkedin.com/company/monster.com,1.0,1.0,US,187.24.00,-11976.31.00
189,Morgan Stanley Smith Barney,morgan stanley smith barney,2011,34000.0,['financial'],['lost / stolen'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],0,0.0,financial services,11 - 50,"new york, new york, united states",united states,linkedin.com/company/morgan-stanley-smith-barney_2384,14.0,44.0,US,187.24.00,-11976.31.00
190,Morinaga Confectionery,morinaga,2022,1648922.0,['retail'],['hacked'],[['https://www.databreaches.net/network-cavity-blamed-for-data-breach-at-japanese-candy-maker-morinaga/']],morinaga.co.jp,0.0,executive office,1 - 10,"Shiba, Minato, Tokyo, Japan",japan,linkedin.com/company/morinaga,2.0,2.0,JP,3449.44.00,4353.24.00
191,Mozilla,mozilla,2014,76000.0,['web'],['poor security'],[['https://www.theguardian.com/technology/2014/aug/05/mozilla-leak-developer-email-addresses-passwords-firefox']],mozilla.org,2005.0,computer software,1001 - 5000,"mountain view, california, united states",united states,linkedin.com/company/mozilla-corporation,1301.0,3139.0,US,187.24.00,-11976.31.00
192,MyHeritage,myheritage,2018,92283889.0,['biotechnology'],['unknown'],[['https://www.bleepingcomputer.com/news/security/myheritage-genealogy-site-announces-mega-breach-affecting-92-million-accounts/']],myheritage.com,2003.0,internet,501 - 1000,"or yehuda, tel aviv, israel",israel,linkedin.com/company/myheritage,219.0,377.0,IL,798.31.00,14227.32.00
193,"NEC Networks, LLC",nec networks & system integration corporation,2021,1600000.0,['healthcare'],['hacked'],[['https://www.law.com/therecorder/2021/09/13/a-trio-of-law-firms-step-in-for-rite-aid-health-care-companies-in-proposed-data-breach-class-action/?slreturn=20211021101814']],nesic.co.jp,0.0,computer networking,51 - 200,0,united states,linkedin.com/company/nec-networks-&-system-integration-corporation,34.0,85.0,US,187.24.00,-11976.31.00
194,Neiman Marcus,neiman marcus,2014,1100000.0,['retail'],['hacked'],"[['https://www.nytimes.com/2014/01/24/business/neiman-marcus-breach-affected-1-1-million-cards.html'], ['http://krebsonsecurity.com/2014/08/stealthy-razor-thin-atm-insert-skimmers/']]",neimanmarcus.com,1907.0,retail,5001 - 10000,"dallas, texas, united states",united states,linkedin.com/company/neiman-marcus,4651.0,15081.0,US,187.24.00,-11976.31.00
195,Nemours Foundation,nemours childrens clinic,2011,1055489.0,['healthcare'],['lost / stolen'],"[['https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html'], ['https://web.archive.org/web/20121107153025/http://zerosecurity.org/technews/past-three-years-over-21m-medical-record-breaches/', 'http://zerosecurity.org/technews/past-three-years-over-21m-medical-record-breaches/']]",0,0.0,information technology and services,51 - 200,"cocoa beach, florida, united states",united states,linkedin.com/company/nemours-childrens-clinic,28.0,59.0,US,187.24.00,-11976.31.00
196,Network Solutions,network solutions,2009,573000.0,['tech'],['hacked'],"[['http://www.computerworld.com/s/article/9175783/Network_Solutions_sites_hacked_again'], ['http://voices.washingtonpost.com/securityfix/2009/07/network_solutions_hack_comprom.html']]",networksolutions.com,1979.0,information technology and services,501 - 1000,"herndon, virginia, united states",united states,linkedin.com/company/network-solutions,402.0,2059.0,US,187.24.00,-11976.31.00
197,New York City Health & Hospitals Corp.,nyc health + hospitals,2010,1700000.0,['healthcare'],['lost / stolen'],[['https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html']],nychealthandhospitals.org,0.0,hospital & health care,5001 - 10000,"new york, new york, united states",united states,linkedin.com/company/nyc-health-and-hospitals-corporation,3187.0,5538.0,US,187.24.00,-11976.31.00
198,New York State Electric & Gas,nyseg,2012,1800000.0,['energy'],['inside job'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],nyseg.com,0.0,utilities,1001 - 5000,"new york, new york, united states",united states,linkedin.com/company/nyseg,398.0,775.0,US,187.24.00,-11976.31.00
199,New York Taxis,new york taxi,2014,52000.0,['transport'],['poor security'],[['https://medium.com/@vijayp/f6bc289679a1']],newyorktaxi.nl,0.0,transportation/trucking/railroad,11 - 50,"renesse, zeeland, netherlands",netherlands,linkedin.com/company/new-york-taxi,4.0,7.0,NL,2262.33.00,4859.26.00
200,Nexon Korea Corp,nexon korea,2011,13200000.0,['web'],['hacked'],"[['https://www.reuters.com/article/us-korea-hacking-nexon-idUSTRE7AP09H20111126', 'https://web.archive.org/web/20141226052435/http://www.reuters.com/article/2011/11/26/us-korea-hacking-nexon-idUSTRE7AP09H20111126']]",nexon.com,0.0,architecture & planning,1 - 10,"Seoul, South Korea",south korea,linkedin.com/company/nexon-inc,4.0,4.0,KR,15164.17.00,12909.02.00
201,NHS,nhs,2011,8300000.0,['healthcare'],['lost / stolen'],[['http://www.techweekeurope.co.uk/news/nhs-researchers-lose-laptop-with-8m-patients-records-31810']],0,1948.0,hospital & health care,10001+,0,united kingdom,linkedin.com/company/nhs,67564.0,92596.0,GB,6355.51.00,-7269.13.00
202,Nintendo (Club Nintendo),nintendo,2013,240000.0,['gaming'],['hacked'],"[['https://web.archive.org/web/20130708184713/http://www.joystiq.com/2013/07/05/club-nintendo-japan-hacked/', 'http://www.joystiq.com/2013/07/05/club-nintendo-japan-hacked/']]",nintendo.com,1889.0,computer games,1001 - 5000,0,japan,linkedin.com/company/nintendo,1452.0,4412.0,JP,3449.44.00,4353.24.00
203,Nintendo (Nintendo Account),nintendo,2020,160000.0,['gaming'],['hacked'],[['https://www.eurogamer.net/articles/2020-04-24-nintendo-confirms-160-000-accounts-accessed-in-huge-privacy-breach']],nintendo.com,1889.0,computer games,1001 - 5000,0,japan,linkedin.com/company/nintendo,1452.0,4412.0,JP,3449.44.00,4353.24.00
204,Nippon Television,nippon television city corporation,2016,430000.0,['media'],['hacked'],[['https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E6%83%85%E5%A0%B1%E6%BC%8F%E6%B4%A9#主な個人情報漏洩事件#2016年']],tokyotower.co.jp,0.0,real estate,1 - 10,"tokyo, tokyo, japan",japan,linkedin.com/company/nippon-television-city-corporation,1.0,1.0,JP,3449.44.00,4353.24.00
205,Nival Networks,nival,2016,1500000.0,['gaming'],['hacked'],[['http://www.news.com.au/technology/online/hacking/teen-cyber-anakin-hacker-wants-revenge-on-russia-after-the-mh17-crash/news-story/bb2eecdc37c54f2b5b3800dd26ef4caf']],nival.com,1996.0,computer games,51 - 200,"moscow, moscow, russia",russia,linkedin.com/company/nival,60.0,503.0,RU,934.21.00,5417.36.00
206,Norwegian Tax Administration,skatteetaten,2008,3950000.0,['government'],['accidental'],[['http://infowatch.com/node/1289']],skatteetaten.no,0.0,government administration,1001 - 5000,"oslo, oslo, norway",norway,linkedin.com/company/skatteetaten,1323.0,2358.0,NO,7927.04.00,7823.46.00
207,Now:Pensions,now: pensions,2020,30000.0,['financial'],['rogue contractor'],[['https://www.theguardian.com/technology/2020/dec/23/data-breach-hits-30000-signed-up-to-workplace-pensions-provider']],nowpensions.com,2011.0,financial services,51 - 200,"london, greater london, united kingdom",united kingdom,linkedin.com/company/now-pensions,82.0,225.0,GB,6355.51.00,-7269.13.00
208,NTT Business Solutions,ntt docomo,2023,9000000.0,['telecoms'],['hacked'],[[]],nttdocomo.co.jp,1992.0,telecommunications,501 - 1000,"tokyo, tokyo, japan",japan,linkedin.com/company/ntt-docomo,302.0,717.0,JP,3449.44.00,4353.24.00
209,NTT Docomo,ntt docomo,2023,5960000.0,['telecoms'],['hacked'],[[]],nttdocomo.co.jp,1992.0,telecommunications,501 - 1000,"tokyo, tokyo, japan",japan,linkedin.com/company/ntt-docomo,302.0,717.0,JP,3449.44.00,4353.24.00
210,US Office of Personnel Management,office personnel management,2015,21500000.0,['government'],['hacked'],"[['https://www.nytimes.com/2015/07/10/us/office-of-personnel-management-hackers-got-data-of-millions.html'], ['https://www.theguardian.com/technology/2015/sep/23/us-government-hack-stole-fingerprints'], ['https://www.washingtonpost.com/news/federal-eye/wp/2015/07/09/hack-of-security-clearance-system-affected-21-5-million-people-federal-authorities-say/']]",0,0.0,government relations,1 - 10,"bowie, maryland, united states",united states,linkedin.com/company/office-personnel-management,1.0,3.0,US,187.24.00,-11976.31.00
211,Office of the Texas Attorney General,office of the texas lieutenant governor,2012,6500000.0,['government'],['accidental'],[['http://www.rawstory.com/rs/2012/04/26/texas-attorney-general-exposes-millions-of-voters-social-security-numbers/']],0,1846.0,government administration,11 - 50,"austin, texas, united states",united states,linkedin.com/company/office-of-the-texas-lieutenant-governor,10.0,47.0,US,187.24.00,-11976.31.00
212,OGUsers,ogusers,2022,529000.0,['web'],['hacked'],[['https://haveibeenpwned.com/PwnedWebsites']],0,0.0,0,0,0,other,0,0.0,0.0,0,0.0,0.0
213,Optus,optus,2022,9800000.0,['telecoms'],['hacked'],[['https://www.experian.com/assets/data-breach/white-papers/2015-industry-forecast-experian.pdf']],optus.com.au,1992.0,telecommunications,10001+,"macquarie park, new south wales, australia",australia,linkedin.com/company/optus,5669.0,17329.0,AU,-4598.18.00,13051.56.00
214,Orbitz,orbitz worldwide,2018,880000.0,['web'],['hacked'],[['https://www.strategicrevenue.com/orbitz-amextravel-victims-of-latest-data-breach-effecting-880000-customers-information/']],orbitz.com,2000.0,internet,501 - 1000,"chicago, illinois, united states",united states,linkedin.com/company/orbitz-worldwide,341.0,2598.0,US,187.24.00,-11976.31.00
215,Ohio State University,the ohio state university,2010,760000.0,['academic'],['hacked'],[['http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml']],osu.edu,1870.0,higher education,10001+,"columbus, ohio, united states",united states,linkedin.com/company/the-ohio-state-university,13817.0,42539.0,US,187.24.00,-11976.31.00
216,Patreon,patreon,2015,2300000.0,['entertainment'],['hacked'],[['https://www.newsweek.com/hackers-patreon-data-breach-patreon-dump-patreon-breach-379512']],patreon.com,2013.0,entertainment,201 - 500,"san francisco, california, united states",united states,linkedin.com/company/patreon,137.0,191.0,US,187.24.00,-11976.31.00
217,PayPay,paypay inc.,2020,20076016.0,['financial'],"['misconfig', 'hacked']",[['https://ja.wikipedia.org/wiki/%E5%80%8B%E4%BA%BA%E6%83%85%E5%A0%B1%E6%BC%8F%E6%B4%A9#主な個人情報漏洩事件#2020年']],paypay.com,2003.0,financial services,11 - 50,"new york, new york, united states",united states,linkedin.com/company/paypay-inc.,7.0,10.0,US,187.24.00,-11976.31.00
218,"Philippine law enforcement agencies (Philippine National Police, National Bureau of Investigation, Bureau of Internal Revenue)",philippine national police,2023,1279437.0,['government'],['poor security'],[['https://newsinfo.inquirer.net/1758456/over-1-million-records-from-nbi-pnp-other-agencies-leaked-in-huge-data-breach']],napahc.org,2009.0,non-profit organization management,1 - 10,0,philippines,linkedin.com/company/national-association-of-philippine-american-home-healthcare-providers,2.0,2.0,PH,14674.01.00,13021.17.00
219,Popsugar,popsugar,2018,123857.0,['retail'],['hacked'],[['https://oag.ca.gov/system/files/POPSUGAR%20Notice%20of%20Data%20Breach_0.pdf']],popsugar.com,2006.0,internet,501 - 1000,"san francisco, california, united states",united states,linkedin.com/company/popsugar,406.0,1260.0,US,187.24.00,-11976.31.00
220,Premera,premera blue cross,2015,11000000.0,['healthcare'],['hacked'],[['http://premeraupdate.com/']],premera.com,1933.0,insurance,1001 - 5000,"mountlake terrace, washington, united states",united states,linkedin.com/company/premera-blue-cross,1737.0,4099.0,US,187.24.00,-11976.31.00
221,Puerto Rico Department of Health,puerto rico department of health,2010,515000.0,['healthcare'],['hacked'],[['https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html']],salud.gov.pr,0.0,"health, wellness and fitness",501 - 1000,"puerto rico, caquetá, colombia",colombia,linkedin.com/company/puerto-rico-departmento-of-health,192.0,335.0,CO,9518.28.00,-5029.33.00
222,Quest Diagnostics,quest diagnostics,2019,11900000.0,['healthcare'],['poor security'],[['https://www.publishedreporter.com/2019/06/05/nearly-12-million-quest-diagnostics-patients-medical-info-exposed-in-new-data-breach/']],questdiagnostics.com,1967.0,hospital & health care,10001+,"madison, new jersey, united states",united states,linkedin.com/company/quest-diagnostics,10784.0,22332.0,US,187.24.00,-11976.31.00
